q(W/M2K),del.T,hexp,R-11,,den.l,den.v,den.diff,cp,meu,hfg,surf.tension,pgiven(Mpa),pcrtical,p_reduced,kmaterial,k_liquid,Ks/kl,dp,Pp,dp/Lp,,Re_Boiling,Bo,Re-K,,,,,,,,,,,
7164.85476,0.658140681,10886.50947,Turbo,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00014,0.00060476,0.231496792,,0.010721216,0.014551335,0.003015351,,,,,,,,,,,
10264.08207,0.8003487,12824.5127,4.4,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00014,0.00060476,0.231496792,,0.015358782,0.014551335,0.003666894,,,,,,,,,,,
14690.86531,0.991573222,14815.71405,R-11,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00014,0.00060476,0.231496792,,0.021982852,0.014551335,0.004543012,,,,,,,,,,,
20767.20973,1.256668561,16525.60617,,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00014,0.00060476,0.231496792,,0.031075263,0.014551335,0.005757578,,,,,,,,,,,
30471.8196,1.625418044,18747.06616,,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00014,0.00060476,0.231496792,,0.045596872,0.014551335,0.007447048,,,,,,,,,,,
41023.11806,2.353523627,17430.5104,,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00014,0.00060476,0.231496792,,0.061385434,0.014551335,0.010782951,,,,,,,,,,,
60193.40437,3.040172238,19799.34019,,4.4,1524,2.94,1521.06,862.49,0.000497,188250,0.020488,0.04838,4.4,0.010995455,401,0.0927,4325.782093,0.00014,0.00060476,0.231496792,,0.090071121,0.014551335,0.013928914,,,,,,,,,,,
7512.38632,0.53657647,14000.58844,26.7,26.7,1472,6.45,1465.55,882.45,0.000391,180250,0.017588,0.11,4.4,0.025,401,0.08632,4645.505097,0.00014,0.00060476,0.231496792,,0.014922924,0.016332033,0.002626918,,,,,,,,,,,
10043.74632,0.680229987,14765.22134,R-11,26.7,1472,6.45,1465.55,882.45,0.000391,180250,0.017588,0.11,4.4,0.025,401,0.08632,4645.505097,0.00014,0.00060476,0.231496792,,0.019951325,0.016332033,0.003330202,,,,,,,,,,,
14964.85266,0.895256016,16715.7242,,26.7,1472,6.45,1465.55,882.45,0.000391,180250,0.017588,0.11,4.4,0.025,401,0.08632,4645.505097,0.00014,0.00060476,0.231496792,,0.02972682,0.016332033,0.004382905,,,,,,,,,,,
